date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:03	15818/15818	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:04%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDIzJmlkX3BlcmlvZG89NXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/indexc3d0.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:04	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:04%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDIzJmlkX3BlcmlvZG89MXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index7967.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:04	15818/15818	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:05%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDIyJmlkX3BlcmlvZG89NXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index80c7.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:04	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:05%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDIyJmlkX3BlcmlvZG89MXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index9ba6.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:05	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:05%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDIyJmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index0b27.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:05	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:06%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDIwJmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index23a2.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:05	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:06%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDE5JmlkX3BlcmlvZG89MXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index0dff.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:05	95786/95786	---M--	200	added ('OK')	application/javascript	etag:%221762a-53a49345bac40%22	https://svr4.uatf.edu.bo/docente_v_2/js/jquery-1.11.1.min.js	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/js/jquery-1.11.1.min.js	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:06	35951/35951	---M--	200	added ('OK')	application/javascript	etag:%228c6f-53a49345bac40%22	https://svr4.uatf.edu.bo/docente_v_2/js/bootstrap.min.js	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/js/bootstrap.min.js	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:06	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-53a492f693180%22	https://svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.eot	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.eot	(from https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css)
16:21:07	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-53a492f693180%22	https://svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.eot?	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regulard41d.eot	(from https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css)
16:21:07	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-53a492f693180%22	https://svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.woff2	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.html	(from https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css)
16:21:07	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-53a492f693180%22	https://svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.woff	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.woff	(from https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css)
16:21:08	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-53a492f693180%22	https://svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.ttf	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.ttf	(from https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css)
16:21:08	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-53a492f693180%22	https://svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.svg	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/fonts/glyphicons-halflings-regular.svg	(from https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css)
16:21:09	15788/15788	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:09%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index.html	(from https://svr4.uatf.edu.bo/docente_v_2/rclave4.php)
16:21:09	12831/12831	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:10%20GMT	https://svr4.uatf.edu.bo/docente_v_2/rclave.php	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/rclave.html	(from https://svr4.uatf.edu.bo/docente_v_2/rclave4.php)
16:21:10	6693/6693	---M--	200	added ('OK')	image/png	etag:%221a25-53a4936256fc0%22	https://svr4.uatf.edu.bo/docente_v_2/imgs/smsu.png	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/imgs/smsu.png	(from https://svr4.uatf.edu.bo/docente_v_2/rclave4.php)
16:21:10	2584/2584	---M--	200	added ('OK')	image/png	etag:%22a18-53a4936256fc0%22	https://svr4.uatf.edu.bo/docente_v_2/imgs/forgotpassword_k.png	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/imgs/forgotpassword_k.png	(from https://svr4.uatf.edu.bo/docente_v_2/rclave.php)
